datasourceid,pm25_avg,pm25_min,pm25_max,pm25_count,no2_avg,no2_min,no2_max,no2_count
DQAJZ3770,13.622857142857143,9.31,16.54,7,13.48,13.48,13.48,1
DLUKV4510,13.589999999999998,8.72,19.47,3,14.14,14.14,14.14,1
DCABM0358,13.575000000000001,8.55,19.97,6,13.239999999999998,12.19,14.29,2
DEVFQ3796,13.4575,7.66,19.65,4,12.07,12.07,12.07,1
DKWDP4373,13.405,13.11,13.7,2,,,,0
DHWLS6819,13.363999999999999,8.28,15.88,5,,,,0
DHUBD2135,13.358,9.54,17.13,5,,,,0
DYHTK6723,13.246666666666668,9.63,16.71,3,18.19,18.19,18.19,1
DGRCH4426,13.178,7.1,24.57,5,14.6,14.6,14.6,1
DIEET8865,13.15,8.94,21.53,4,10.97,10.97,10.97,1
DFKYH6865,13.131666666666668,7.98,22.02,6,15.62,15.62,15.62,1
DCFVE7122,13.106666666666667,11.41,14.2,3,,,,0
DXHCB5919,13.07,6.85,23.67,15,14.916666666666666,14.44,15.6,3
DTQTJ0507,13.056666666666667,10.56,15.42,3,17.36,17.36,17.36,1
DIHMX0551,13.055,10.04,16.07,2,,,,0
DRCQU4244,13.003333333333332,10.22,15.0,3,,,,0
DRJGY6541,12.995000000000001,7.05,16.66,4,11.44,11.44,11.44,1
DQRVM2041,12.91,12.37,13.45,2,13.65,13.65,13.65,1
DPBXQ5234,12.89,12.89,12.89,1,,,,0
DMARJ5120,12.8675,8.9,18.01,4,24.09,24.09,24.09,1
DJJVG1917,12.834999999999999,7.14,18.87,6,17.66,17.66,17.66,1
DNBEB5545,12.825,8.37,17.28,2,13.41,13.41,13.41,1
DTKNM4892,12.803333333333335,7.41,16.1,3,14.915000000000001,12.64,17.19,2
DKDJK5693,12.715,11.92,13.51,2,,,,0
DFQDK6326,12.7,7.48,16.87,5,,,,0
DDGHI0125,12.684999999999999,7.22,18.15,2,16.68,16.68,16.68,1
DWRMS8182,12.67,10.02,15.32,2,,,,0
DBIZF0451,12.464,9.09,14.69,5,,,,0
DGRSB4646,12.454999999999998,7.52,20.24,4,11.88,11.88,11.88,1
DVRBW4874,12.432,8.73,16.46,5,13.815000000000001,11.21,16.42,2
DWFRI5691,12.42,7.03,15.06,5,16.34,16.34,16.34,1
DWEWU1433,12.375,7.26,17.49,2,20.5,20.5,20.5,1
DUIZW8642,12.372499999999999,6.5,15.11,4,,,,0
DWZRL1539,12.3475,5.67,22.96,4,18.7,18.7,18.7,1
DRYBG8957,12.31,8.16,16.46,2,21.49,21.49,21.49,1
DAETQ5676,12.29,12.29,12.29,1,,,,0
DLZBV6061,12.26,7.59,16.93,2,,,,0
DCZQF3538,12.219999999999999,8.55,16.38,3,,,,0
DZIEF7974,12.216666666666667,8.69,17.36,3,,,,0
DYWWS0378,12.15,7.0,18.39,3,15.665000000000001,14.39,16.94,2
DVCHA9392,12.149999999999999,8.86,15.48,4,13.81,13.81,13.81,1
DLDVK7370,12.131666666666668,8.77,14.64,6,,,,0
DAHAJ0678,12.129999999999999,6.48,23.34,8,,,,0
DEPLW3142,12.115000000000002,8.49,14.38,4,,,,0
DLAIF4030,12.046,4.7,30.92,10,23.815,22.85,24.78,2
DIFPQ7419,11.99,9.31,14.73,5,17.165,11.93,22.4,2
DBLXJ4454,11.96,11.76,12.22,3,,,,0
DBYCW6873,11.953999999999999,7.31,17.63,5,15.71,15.71,15.71,1
DPMWW4120,11.924000000000001,8.41,15.49,5,,,,0
DWKUZ0134,11.896250000000002,6.35,23.83,8,,,,0
DUGYZ8163,11.843333333333332,6.61,15.74,6,16.87,16.87,16.87,1
DZTFU6199,11.8,11.8,11.8,1,,,,0
DHQVH8975,11.765,9.39,14.14,2,,,,0
DVCMB9343,11.726666666666667,7.51,16.71,3,12.53,12.53,12.53,1
DZBHR9476,11.72,11.72,11.72,1,,,,0
DNBKU3560,11.703333333333333,8.04,18.12,3,18.38,18.38,18.38,1
DBMHJ0743,11.666666666666666,8.6,14.76,3,,,,0
DSHWY2305,11.653333333333334,9.72,14.93,3,,,,0
DAPBK7657,11.643333333333333,7.73,14.01,3,,,,0
DLNMW9381,11.636666666666665,9.6,14.53,3,,,,0
DQXJA8041,11.556666666666667,9.46,14.23,3,,,,0
DAPJK7781,11.54,11.54,11.54,1,,,,0
DQGPJ5322,11.530000000000001,8.95,14.3,3,11.83,11.83,11.83,1
DGGGM0466,11.458333333333334,7.01,15.88,6,15.54,15.27,15.81,2
DIPDE7442,11.441875,4.11,29.22,16,28.6,17.49,39.71,2
DKHYU9123,11.43,8.17,14.69,2,,,,0
DKTWP2892,11.350000000000001,6.96,18.8,4,9.69,9.69,9.69,1
DFFDA0268,11.35,6.46,18.06,3,17.84,17.84,17.84,1
DQUUS8611,11.344999999999999,9.2,13.49,2,,,,0
DLTCH1397,11.326666666666668,6.58,15.2,3,,,,0
DIZEF3591,11.29,11.29,11.29,1,,,,0
DAWUS6556,11.265,9.31,13.22,2,,,,0
DMLRY2750,11.213333333333333,8.92,13.6,3,15.96,15.96,15.96,1
DFNHF0256,11.07,8.69,13.45,2,,,,0
