datasourceid,time,rolling_pm25_24h,rolling_no2_24h
DHWLS6819,2026-01-27T06:03:18.000Z,13.24,
DHWLS6819,2026-01-27T11:45:56.000Z,13.0425,
DHWLS6819,2026-01-27T12:20:11.000Z,13.364,
DHZTI7858,2026-01-27T11:50:41.000Z,12.26,
DHZTI7858,2026-01-27T12:08:22.000Z,10.67,
DHZTI7858,2026-02-10T15:10:35.000Z,23.3,19.06
DIBVR6629,2026-01-26T18:57:24.000Z,9.52,
DICQL6656,2026-01-27T02:48:50.000Z,16.25,
DICQL6656,2026-01-27T10:55:16.000Z,14.6,
DICQL6656,2026-02-10T05:48:27.000Z,17.83,12.48
DIEET8865,2026-01-27T10:32:54.000Z,12.21,
DIEET8865,2026-01-27T12:53:34.000Z,11.065000000000001,
DIEET8865,2026-01-27T14:03:53.000Z,10.356666666666667,
DIEET8865,2026-02-10T21:29:25.000Z,21.53,10.97
DIFPQ7419,2026-01-26T19:47:45.000Z,9.31,
DIFPQ7419,2026-01-26T21:51:30.000Z,11.655000000000001,
DIFPQ7419,2026-01-27T05:48:37.000Z,10.9,
DIFPQ7419,2026-02-10T03:37:52.000Z,12.52,22.4
DIFPQ7419,2026-02-10T21:12:31.000Z,13.625,17.165
DIHMX0551,2026-01-26T15:20:59.000Z,10.04,
DIHMX0551,2026-01-27T05:59:42.000Z,13.055,
DIIPF3878,2025-12-07T22:19:04.994Z,3.67,
DIIPF3878,2025-12-08T11:09:34.958Z,3.3449999999999998,
DIIPF3878,2025-12-14T17:28:13.726Z,6.21,
DIIPF3878,2025-12-19T02:48:06.106Z,8.33,
DIIPF3878,2025-12-19T03:23:06.245Z,7.95,
DIIPF3878,2026-01-01T09:14:48.300Z,3.85,
DIIPF3878,2026-01-26T08:34:47.000Z,8.76,
DIIPF3878,2026-01-26T12:58:14.000Z,8.065,
DIIPF3878,2026-01-27T03:18:08.000Z,10.716666666666667,
DIIPF3878,2026-01-27T12:22:14.000Z,11.693333333333333,
DIIPF3878,2026-01-30T22:34:38.000Z,3.24,
DIIPF3878,2026-02-03T20:54:54.000Z,4.12,
DIIPF3878,2026-02-04T00:42:59.000Z,4.505,
DIIPF3878,2026-02-07T00:32:55.000Z,3.37,
DIIPF3878,2026-02-10T13:48:25.000Z,21.55,36.27
DIIPF3878,2026-02-10T20:13:16.000Z,20.625,23.855
DIIPF3878,2026-02-10T21:23:14.000Z,20.973333333333333,22.036666666666665
DIIPF3878,2026-02-11T14:18:41.000Z,17.290000000000003,14.919999999999998
DIIPF3878,2026-02-24T15:59:20.000Z,8.7,
DIIPF3878,2026-03-01T00:25:09.000Z,3.83,
DIIPF3878,2026-03-01T18:13:33.000Z,4.0649999999999995,
DIIPF3878,2026-04-07T11:48:36.000Z,3.84,
DIPDE7442,2025-12-11T08:07:31.301Z,6.61,
DIPDE7442,2025-12-14T03:39:44.598Z,9.32,
DIPDE7442,2025-12-19T02:02:03.612Z,8.62,
DIPDE7442,2025-12-21T18:38:58.510Z,6.15,
DIPDE7442,2026-01-17T03:18:51.000Z,4.69,
DIPDE7442,2026-01-25T14:29:30.000Z,7.69,
DIPDE7442,2026-01-26T07:50:54.000Z,11.68,
DIPDE7442,2026-01-27T04:35:33.000Z,15.309999999999999,
DIPDE7442,2026-01-27T11:36:08.000Z,16.45,
DIPDE7442,2026-02-04T02:26:41.000Z,10.95,
DIPDE7442,2026-02-04T09:26:48.000Z,10.59,
DIPDE7442,2026-02-10T14:39:26.000Z,29.22,39.71
DIPDE7442,2026-02-10T23:49:17.000Z,24.365000000000002,28.6
DIPDE7442,2026-02-20T22:40:32.000Z,11.02,
DIPDE7442,2026-03-01T06:44:43.000Z,4.11,
DIPDE7442,2026-03-23T06:31:12.000Z,6.38,
DIQKT3554,2026-01-26T13:05:01.000Z,5.49,
DIQKT3554,2026-01-26T13:57:47.000Z,6.045,
DIQKT3554,2026-01-27T02:16:06.000Z,7.243333333333333,
DIRJX6254,2026-01-26T14:02:58.000Z,10.01,
DIRJX6254,2026-02-10T21:10:46.000Z,22.03,23.36
DITUM6528,2026-02-10T23:29:57.000Z,22.67,17.42
DITUY8368,2026-01-27T05:16:00.000Z,20.97,
DITUY8368,2026-02-10T05:04:41.000Z,18.93,13.97
DIUDG6358,2026-01-26T22:16:45.000Z,16.45,
DIUDG6358,2026-02-10T14:46:46.000Z,34.13,28.0
DIUZJ7853,2026-01-26T21:22:08.000Z,17.32,
DIUZJ7853,2026-01-26T22:13:56.000Z,15.440000000000001,
DIUZJ7853,2026-01-27T03:14:52.000Z,15.003333333333336,
DIUZJ7853,2026-01-27T05:50:18.000Z,14.345,
DIUZJ7853,2026-01-27T09:52:01.000Z,14.502,
DIUZJ7853,2026-01-27T11:35:35.000Z,14.5,
DIVZD0266,2026-01-26T22:32:46.000Z,20.21,
DIVZD0266,2026-01-27T07:43:15.000Z,19.825000000000003,
DIVZD0266,2026-01-27T09:26:26.000Z,19.51666666666667,
DIVZD0266,2026-02-10T15:19:36.000Z,27.33,35.51
DIWKR9442,2026-01-26T12:50:56.000Z,15.06,
DIWKR9442,2026-02-10T21:59:15.000Z,20.59,23.67
DIWYY0447,2026-01-27T01:06:46.000Z,6.14,
DIXEX6164,2026-01-27T04:29:08.000Z,19.53,
DIXEX6164,2026-01-27T10:36:15.000Z,16.995,
DIXEX6164,2026-01-27T10:53:44.000Z,16.346666666666668,
DIXEX6164,2026-01-27T12:03:38.000Z,15.312500000000002,
DIXEX6164,2026-02-10T05:37:44.000Z,17.08,10.52
DIXEX6164,2026-02-10T20:44:37.000Z,18.485,9.78
DIXUN6634,2026-01-26T12:08:06.000Z,8.94,
DIXUN6634,2026-01-26T23:13:41.000Z,12.355,
DIXUN6634,2026-01-27T06:49:08.000Z,14.790000000000001,
DIXUN6634,2026-01-27T14:23:56.000Z,15.286666666666667,
DIXUN6634,2026-02-10T19:58:53.000Z,19.09,9.68
DIXUN6634,2026-02-10T20:33:35.000Z,18.55,10.149999999999999
DIZEF3591,2026-01-27T11:10:15.000Z,11.29,
DJCYU2364,2026-01-26T20:02:11.000Z,12.07,
DJCYU2364,2026-01-27T01:10:27.000Z,10.985,
DJCYU2364,2026-01-27T07:44:23.000Z,12.273333333333333,
